events,batter,pitcher,stand,p_throws,home_team,pitcher_game_pitch_count,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9
field_out,641487,592866,L,R,WSH,2,660688,608336,671277,669222,682928,608385,696285,592696
strikeout,664238,592866,R,R,WSH,8,660688,608336,671277,669222,682928,608385,696285,592696
field_out,670042,592866,L,R,WSH,11,660688,608336,671277,669222,682928,608385,696285,592696
field_out,682928,669302,L,R,WSH,1,663728,664034,593871,668942,641487,664238,677594,670042
strikeout,592696,669302,L,R,WSH,4,663728,664034,593871,668942,641487,664238,677594,670042
strikeout,608841,669302,R,R,WSH,10,663728,664034,593871,668942,641487,664238,677594,670042
strikeout,663728,592866,L,R,WSH,15,660688,608336,671277,669222,682928,608385,696285,592696
single,686527,592866,L,R,WSH,20,660688,608336,671277,669222,682928,608385,696285,592696
strikeout,677594,592866,R,R,WSH,25,660688,608336,671277,669222,682928,608385,696285,592696
strikeout,664034,592866,R,R,WSH,31,660688,608336,671277,669222,682928,608385,696285,592696
single,671277,669302,L,R,WSH,15,663728,664034,593871,668942,641487,664238,677594,670042
single,608385,669302,L,R,WSH,17,663728,664034,593871,668942,641487,664238,677594,670042
sac_fly,660688,669302,L,R,WSH,19,663728,664034,593871,668942,641487,664238,677594,670042
field_out,669222,669302,R,R,WSH,21,663728,664034,593871,668942,641487,664238,677594,670042
field_out,608336,669302,L,R,WSH,23,663728,664034,593871,668942,641487,664238,677594,670042
single,593871,592866,L,R,WSH,36,660688,608336,671277,669222,682928,608385,696285,592696
strikeout,668942,592866,L,R,WSH,42,660688,608336,671277,669222,682928,608385,696285,592696
field_out,641487,592866,L,R,WSH,46,660688,608336,671277,669222,682928,608385,696285,592696
field_out,664238,592866,R,R,WSH,49,660688,608336,671277,669222,682928,608385,696285,592696
field_out,696285,669302,R,R,WSH,28,663728,664034,593871,668942,641487,664238,677594,670042
strikeout,682928,669302,L,R,WSH,37,663728,664034,593871,668942,641487,664238,677594,670042
strikeout,592696,669302,L,R,WSH,42,663728,664034,593871,668942,641487,664238,677594,670042
strikeout,670042,592866,L,R,WSH,55,660688,608336,671277,669222,682928,608385,696285,592696
strikeout,663728,592866,L,R,WSH,60,660688,608336,671277,669222,682928,608385,696285,592696
strikeout,686527,592866,L,R,WSH,65,660688,608336,671277,669222,682928,608385,696285,592696
field_out,608841,669302,R,R,WSH,45,663728,664034,593871,668942,641487,664238,677594,670042
field_out,671277,669302,L,R,WSH,52,663728,664034,593871,668942,641487,664238,677594,670042
field_out,608385,669302,L,R,WSH,54,663728,664034,593871,668942,641487,664238,677594,670042
home_run,677594,592866,R,R,WSH,70,660688,608336,671277,669222,682928,608385,696285,592696
single,664034,592866,R,R,WSH,75,660688,608336,671277,669222,682928,608385,696285,592696
field_out,593871,592866,L,R,WSH,79,660688,608336,671277,669222,682928,608385,696285,592696
